person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
-0.9033738320142709,-0.11414328837658246,28.92661352234601,4.019403764559302,1.6259211894310919,3.9314107955904056,-0.6915544446924091,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.06090423423681,-0.9111467110985608,0.056762624711402455,-1.3586499846939326,0.042309678460683786,-0.6574584707136332,-0.9381672830370894,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.43078262534665396,-0.9111467110985608,-0.9218763887677367,-0.6468487531751221,0.6037129395219142,3.7441100092106487,-0.6915544446924091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.7458434297917319,-0.009274416965795826,-0.18789712865838235,4.019403764559302,1.369557850564981,3.369508436451136,-0.9381672830370894,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.588313027569193,-0.1883581819903699,0.7907418848207568,4.019403764559302,1.0580277172593266,3.5568092228308927,-0.4449416063477287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.06090423423681,-0.9063066093411399,-0.677216635397952,-1.1213829075209958,-1.2557325436462088,0.7472974271345421,-0.9381672830370894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.273252223124115,0.17787618432114646,0.7907418848207568,4.019403764559302,0.45768318953488907,2.6203052909321096,-0.6915544446924091,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.588313027569193,0.20782028052705726,0.056762624711402455,4.019403764559302,0.032574361794881726,2.526654897742231,-0.4449416063477287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.588313027569193,0.27306485221709126,0.7907418848207568,4.019403764559302,-0.6845939659191759,2.339354111362474,-0.9381672830370894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.06090423423681,-0.9046932420886663,0.30142237808118727,-1.2637431538247579,1.2105476783568867,-0.0955561115743631,-0.6915544446924091,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.9033738320142709,0.3053321972665641,0.30142237808118727,4.019403764559302,-0.2075634492948934,2.2457037181725954,-0.4449416063477287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.06090423423681,-0.9046932420886663,-0.677216635397952,-0.8050268046237467,-0.772211815911391,2.6203052909321096,-0.9381672830370894,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7458434297917319,0.4666689225139281,-0.677216635397952,4.019403764559302,-1.009104521445899,1.8711021454130823,-0.9381672830370894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.273252223124115,0.6789880529394592,-0.18789712865838235,4.019403764559302,2.3950112060294257,1.4028501794636905,-0.4449416063477287,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.7458434297917319,0.7893423730086563,-0.677216635397952,4.019403764559302,-1.009104521445899,1.2155493930839336,-0.4449416063477287,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7458434297917319,7.000806295032173,0.5460821314509721,3.2285135073161793,-0.11670049374741058,-1.0320600434731466,-0.6915544446924091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7458434297917319,0.8700107356323382,-1.1665361421375215,4.019403764559302,-1.009104521445899,1.1218989998940552,-0.4449416063477287,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7458434297917319,0.4200587425899647,0.5460821314509721,4.019403764559302,2.998600839309131,1.4028501794636905,-0.4449416063477287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.7458434297917319,0.7570750279591835,0.7907418848207568,4.019403764559302,2.3495797282556845,1.309199786273812,-0.4449416063477287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
