Gross Income,Extra Income,Age Group,Deductions,Tax,Net Income,Timestamp
600000.0,2000.0,<40,200.0,0.0,601800.0,2025-04-05 14:30:49
600000.0,20000.0,<40,200.0,0.0,619800.0,2025-04-05 14:31:04
60000.0,2000.0,<40,500.0,0.0,61500.0,2025-04-05 14:45:25
60000.0,20000.0,<40,500.0,0.0,79500.0,2025-04-05 14:48:55
20000.0,2000.0,<40,3000.0,0.0,19000.0,2025-04-05 14:49:16
66000.0,20000.0,<40,500.0,0.0,85500.0,2025-04-05 14:51:46
600000.0,20000.0,<40,500.0,0.0,619500.0,2025-04-05 14:52:58
600000.0,2000.0,<40,5000.0,0.0,597000.0,2025-04-05 15:15:08
600000.0,2000.0,<40,500.0,0.0,601500.0,2025-04-05 15:21:59
60000.0,2000.0,<40,14000.0,0.0,48000.0,2025-04-09 01:21:58
60000.0,20000.0,<40,1500.0,0.0,78500.0,2025-04-09 01:49:31
600000.0,20000.0,<40,1500.0,0.0,618500.0,2025-04-13 10:25:36
6000000.0,10000.0,<40,100000.0,1533000.0,4377000.0,2025-04-29 09:13:14
